"JobTitle","Sex","Race","JobType","StartYear"
"Management Specialist","M","White","Permanent-Full Time",2000
"Fire/EMS Lieutenant","M","White","Permanent-Full Time",1996
"Police Corporal","F","White","Permanent-Full Time",2004
"Police Chief","M","White","Permanent-Full Time",1990
"Firefighter/EMT II","M","White","Permanent-Full Time",2003
"Planner, Associate","F","White","Permanent-Full Time",2001
"Fire/EMS Captain I","F","White","Permanent-Full Time",2005
"County Manager","M","White","Permanent-Full Time",2005
"Police Corporal","M","White","Permanent-Full Time",2001
"Public Health Nurse","F","Hispanic or Latino","Permanent-Full Time",2000
"Client Services Entry Bureau Chief","F","White","Permanent-Full Time",1988
"Survey Instrument Operator","M","Black or African American","Permanent-Full Time",2003
"Police Captain","M","White","Permanent-Full Time",1995
"Police Corporal","M","White","Permanent-Full Time",2003
"Clinic Aide I","F","Hispanic or Latino","Permanent-Part Time",2004
"Police Sergeant","M","White","Permanent-Full Time",2005
"Firefighter/EMT II","M","White","Permanent-Full Time",1996
"Emergency Communications Technician III","F","White","Permanent-Full Time",1986
"Chief Information Officer","M","White","Permanent-Full Time",2000
"Mental Health Therapist II","M","White","Permanent-Full Time",2000
"AED Specialist IV","F","Asian","Permanent-Full Time",2001
"Budget and Finance Specialist","M","Hispanic or Latino","Permanent-Full Time",1995
"Building Engineer I","M","Asian","Permanent-Full Time",2006
"Management Analyst","M","White","Permanent-Full Time",2000
"Librarian","M","White","Permanent-Part Time",2001
"Librarian Supervisor","F","White","Permanent-Full Time",1996
"Fire/EMS Captain I","M","White","Permanent-Full Time",2005
"Fire/EMS Captain I","M","White","Permanent-Full Time",2004
"Fire/EMS Captain I","M","White","Permanent-Full Time",2000
"Community Codes Inspector III","M","Black or African American","Permanent-Full Time",2003
"DPR Program Specialist","F","White","Permanent-Full Time",2004
"Public Health Nurse","F","Hispanic or Latino","Permanent-Full Time",2001
"IT Program Manager","F","White","Permanent-Full Time",2003
"Management Specialist","F","Hispanic or Latino","Permanent-Full Time",1998
"Police Captain","M","White","Permanent-Full Time",1987
"Fire/EMS Captain I","M","Black or African American","Permanent-Full Time",2000
"Police Officer","M","White","Permanent-Full Time",1989
"Fire/EMS Captain I","M","White","Permanent-Full Time",2000
"DPR Deputy Director","F","White","Permanent-Full Time",2003
"Police Corporal","F","White","Permanent-Full Time",2001
"Police Sergeant","M","White","Permanent-Full Time",1999
"Deputy Sheriff Corporal","M","Hispanic or Latino","Permanent-Full Time",1999
"Design Engineer","M","Asian","Permanent-Full Time",1998
"Community Planning, Housing & Development Dir","M","White","Permanent-Full Time",1998
"Probation Counselor II","F","Hispanic or Latino","Permanent-Full Time",2008
"Planner, Principal","M","White","Permanent-Full Time",2005
"Police Sergeant","M","White","Permanent-Full Time",2002
"Technology Manager","M","White","Permanent-Full Time",1997
"Police Corporal","M","White","Permanent-Full Time",2006
"Police Corporal","M","White","Permanent-Full Time",2004
"County Attorney","M","White","Permanent-Full Time",2000
"Public Health Division Chief","M","Asian","Permanent-Full Time",2005
"Physician Supervisor","M","Black or African American","Permanent-Full Time",2005
"Planner, Principal","M","White","Permanent-Full Time",2005
"Technology Manager II","M","White","Permanent-Full Time",2004
"Planning Supervisor","M","White","Permanent-Full Time",1999
"Court Operations Administrator","M","White","Permanent-Full Time",1989
"Police Corporal","M","White","Permanent-Full Time",1998
"Community Codes Supervisor","M","White","Permanent-Full Time",2004
"Deputy Sheriff Corporal","M","Black or African American","Permanent-Full Time",2002
"DPR Programmer II","F","Hispanic or Latino","Permanent-Full Time",2005
"Police Corporal","F","White","Permanent-Full Time",2005
"Cable Programs Producer","M","White","Permanent-Full Time",2005
"Mental Health Therapist II (Licensed)","F","White","Permanent-Full Time",2011
"Librarian Supervisor","M","White","Permanent-Full Time",2001
"Database Administrator","M","Asian","Permanent-Full Time",1997
"Deputy Sheriff Corporal","M","Black or African American","Permanent-Full Time",1998
"Emergency Communications Supervisor","M","White","Permanent-Full Time",2006
"Police Lieutenant","M","White","Permanent-Full Time",1998
"Design Engineer Team Supervisor","M","White","Permanent-Full Time",2004
"Deputy County Manager","F","White","Permanent-Full Time",2005
"DPR Programmer I","M","White","Permanent-Full Time",2006
"Administrative Technician II","F","Black or African American","Permanent-Full Time",2001
"Environmental Health Specialist I","M","Asian","Permanent-Full Time",2002
"Eligibility Worker","F","White","Permanent-Part Time",1976
"Human Services Aide IV","F","White","Permanent-Part Time",1998
"Police Corporal","M","Hispanic or Latino","Permanent-Full Time",2012
"Development Plan Review Supervisor","F","White","Permanent-Full Time",1990
"Fire Division Chief II","M","White","Permanent-Full Time",1985
"Administrative Assistant IV","F","Hispanic or Latino","Permanent-Full Time",1997
"Deputy Sheriff Sergeant","M","Asian","Permanent-Full Time",2004
